,0,1
0,511.0,484.0
1,511.0,440.0
2,511.0,403.0
3,511.0,366.0
4,511.0,355.0
5,511.0,292.0
6,511.0,225.0
7,511.0,195.0
8,511.0,182.0
9,511.0,171.0
10,511.0,140.0
11,511.0,98.0
12,511.0,88.0
13,511.0,78.0
14,511.0,68.0
15,511.0,48.0
16,511.0,0.0
17,509.0,109.0
18,509.0,21.0
19,508.0,162.0
20,508.0,151.0
21,508.0,57.0
22,507.0,496.0
23,507.0,464.0
24,507.0,348.0
25,507.0,237.0
26,507.0,206.0
27,506.0,506.0
28,506.0,476.0
29,506.0,315.0
30,506.0,305.0
31,506.0,269.0
32,506.0,216.0
33,506.0,131.0
34,506.0,120.0
35,506.0,40.0
36,505.0,418.0
37,505.0,393.0
38,505.0,326.0
39,505.0,247.0
40,504.0,454.0
41,504.0,382.0
42,504.0,371.0
43,504.0,338.0
44,504.0,282.0
45,503.0,257.0
46,503.0,183.0
47,503.0,11.0
48,502.0,485.0
49,502.0,90.0
50,502.0,77.0
51,501.0,428.0
52,501.0,408.0
53,501.0,193.0
54,501.0,171.0
55,501.0,103.0
56,501.0,66.0
57,501.0,29.0
58,500.0,440.0
59,500.0,362.0
60,500.0,50.0
61,499.0,294.0
62,499.0,143.0
63,498.0,226.0
64,497.0,470.0
65,497.0,215.0
66,497.0,202.0
67,497.0,155.0
68,497.0,124.0
69,496.0,511.0
70,496.0,350.0
71,496.0,328.0
72,496.0,318.0
73,496.0,306.0
74,496.0,273.0
75,496.0,238.0
76,496.0,113.0
77,496.0,19.0
78,495.0,493.0
79,495.0,421.0
80,495.0,400.0
81,495.0,250.0
82,495.0,58.0
83,495.0,40.0
84,494.0,460.0
85,494.0,450.0
86,494.0,376.0
87,494.0,283.0
88,494.0,179.0
89,494.0,134.0
90,493.0,480.0
91,493.0,388.0
92,493.0,339.0
93,493.0,262.0
94,493.0,76.0
95,493.0,8.0
96,492.0,98.0
97,491.0,436.0
98,491.0,410.0
99,491.0,190.0
100,491.0,166.0
101,491.0,89.0
102,490.0,28.0
103,489.0,502.0
104,489.0,359.0
105,488.0,200.0
106,488.0,108.0
107,488.0,47.0
108,487.0,470.0
109,487.0,323.0
110,487.0,302.0
111,487.0,233.0
112,487.0,149.0
113,487.0,122.0
114,487.0,67.0
115,486.0,370.0
116,486.0,292.0
117,486.0,220.0
118,486.0,210.0
119,485.0,426.0
120,485.0,397.0
121,485.0,383.0
122,485.0,347.0
123,485.0,266.0
124,485.0,242.0
125,485.0,137.0
126,485.0,17.0
127,484.0,488.0
128,484.0,461.0
129,484.0,446.0
130,484.0,332.0
131,484.0,279.0
132,484.0,254.0
133,484.0,159.0
134,484.0,36.0
135,483.0,311.0
136,483.0,183.0
137,483.0,173.0
138,483.0,88.0
139,483.0,4.0
140,482.0,413.0
141,482.0,76.0
142,482.0,56.0
143,481.0,436.0
144,481.0,356.0
145,480.0,508.0
146,480.0,497.0
147,480.0,100.0
148,479.0,478.0
149,478.0,287.0
150,478.0,227.0
151,478.0,195.0
152,478.0,149.0
153,478.0,22.0
154,477.0,376.0
155,477.0,321.0
156,477.0,299.0
157,477.0,246.0
158,477.0,165.0
159,477.0,128.0
160,477.0,118.0
161,477.0,109.0
162,477.0,45.0
163,476.0,402.0
164,476.0,364.0
165,476.0,340.0
166,476.0,275.0
167,476.0,215.0
168,475.0,453.0
169,475.0,421.0
170,475.0,388.0
171,475.0,264.0
172,475.0,206.0
173,475.0,83.0
174,475.0,63.0
175,475.0,32.0
176,474.0,466.0
177,473.0,443.0
178,473.0,12.0
179,472.0,412.0
180,472.0,309.0
181,472.0,235.0
182,472.0,187.0
183,472.0,140.0
184,472.0,94.0
